ANPEP,APOA4,APOC3,C9,CRP,HGFAC,IGFBP2,ITIH3,LRG1,ORM1,PFN1,PIGR,PON3,SERPINA3,VWF
-0.476,-0.6231,0.1842,-0.7332,-0.9303817480728714,0.0779,0.35617,-0.7024,-0.3346,-0.2595,-1.0186,-0.3388,-0.1929,-0.6975,-0.2233
-1.0356,0.0122,-0.6147,-0.1285,-1.1456268185547165,0.5285,-2.54129,-0.9288,-1.0948,-0.336,1.7668,-1.1551,-0.0889,-0.2704,-0.6872
-0.1235,0.0264,0.6325,-0.8676,-0.4898828703289376,0.2759,-1.20906,-0.7145,-0.9342,-0.3952,-1.5358,-1.1502,0.0869,-0.3506,0.0349
0.211,1.1433,0.663,-0.0236,-0.5249707140687612,0.0999,0.09703,-0.3212,-0.138,-0.1397,-0.2088,-0.2427,0.2516,0.0455,-0.5478
-0.0311,-0.2398,0.5699,-0.5578,-1.9801636737153818,0.1386,-0.26908,-0.2203,-0.865,0.2235,0.3223,-0.494,-0.007,0.0184,-0.908
-0.9471,0.4951,-0.2048,-0.3458,-0.3641514610880078,-0.0181,-1.35051,-0.3694,-0.9155,-0.2667,-0.603,-0.7417,-0.1599,-0.2765,-0.2242
-0.1573,0.3294,0.2169,-1.1381,-1.5796229175216194,0.1911,-1.85965,-0.2088,-0.9876,-0.5097,-0.3308,-0.1425,0.3854,-0.9259,-0.9016
-0.1209,-0.3043,-0.1976,-0.0998,-1.1390417227276046,0.0735,1.38157,0.3667,-0.1643,-0.2883,0.0382,-0.3595,-0.086,0.0736,0.1648
-0.2501,-0.1439,0.3083,-1.0977,0.24478857993862246,0.1193,-2.2934,-0.7068,-0.7794,-0.2647,2.0523,0.0242,0.2824,-0.373,-0.4681
-0.484,0.5794,-0.5549,-0.1732,-1.1290586006306622,0.2143,-2.10693,-0.6248,-0.6625,0.0486,0.8453,-0.7327,0.0055,-0.2144,-0.2317
-0.1723,-0.1345,0.5795,-0.2571,-1.0130876325878229,-0.036,0.03532,-0.2427,-0.246,0.0195,0.6473,-0.1472,-0.0978,-0.5094,-0.3937
0.0121,0.5272,-0.1555,-0.0105,-0.16233460093516638,0.4768,-1.605,-0.1267,-0.8345,-0.0737,1.0324,-0.7623,0.1985,-1.1055,0.0589
-0.3769,0.6457,-0.4203,-0.2336,0.7250891258409331,-0.1132,1.07507,-0.1428,-0.7686,-0.3038,-1.5358,-0.7429,-0.0644,-0.959,-0.2597
0.0089,0.2304,0.3559,-0.5487,-1.2947413132416588,0.0626,-0.7406,-0.3934,-0.6926,-0.391,1.0619,-0.8162,0.2653,0.065,-0.358
-0.3977,0.6824,0.6602,-1.0426,-1.866321630648926,0.6306,-1.04491,-0.3519,-1.2428,-0.6001,0.1264,-0.9774,0.2255,-0.6539,-0.5716
-0.3105,-0.3291,0.2105,-0.8746,-3.9567279771694164,0.3794,-1.44657,-0.4663,-0.736,-0.0531,2.416,-0.4535,-0.2447,-0.7654,-0.28
-0.6772,1.372,0.6135,-0.6049,0.7936129809669239,0.4146,-0.07131,-0.6237,-0.8928,-0.5033,-1.5358,-0.6781,-0.176,0.0512,-0.7172
-0.749,0.0819,1.1382,-0.4849,-1.5205201686019167,0.3129,-0.29359,-0.4133,-0.5489,0.1914,-1.4627,-0.9892,-0.2023,-0.2144,-0.7553
0.2953,-0.1033,1.0131,-0.4838,-0.2542168847778671,-0.4226,-0.20298,-0.3911,-0.407,0.0544,1.7836,0.1572,0.0674,-0.1453,-0.1784
0.0857,-0.1519,0.2311,-0.071,-2.586603631864342,0.0895,0.50522,-0.3692,-0.7306,0.023,-0.0549,-0.6602,0.277,-0.4086,-0.9497
-0.3375,0.0035,0.8874,-0.5376,-1.4680163705700155,0.4284,-1.19131,-0.5625,-1.1299,0.0148,1.2934,-0.9151,0.5542,-0.2471,-0.8271
-0.2404,0.1648,0.106,-0.7076,0.13645307107751892,0.6306,-2.804,-0.0113,-0.3202,-0.0072,1.2353,-0.9793,-0.1372,-0.2255,-0.2959
-0.0685,-0.3195,1.9179,-0.0882,-0.8450171907618341,-0.2546,-1.46732,-0.7236,-0.5735,0.1285,-1.0608,-0.375,0.1219,-0.4367,-0.1355
-0.4055,0.7112,1.1755,-1.2134,-0.9308382046217001,0.4308,0.12609,-0.3398,-0.8564,-0.2345,-0.2005,-0.7795,0.0303,-0.6687,-0.0704
-0.6354,0.6286,0.4764,-0.7594,-0.4388781189186417,0.2534,-1.43894,-0.8359,-0.9814,0.1618,-0.5948,-1.1017,0.3568,0.1714,-0.2061
